,jokowi,detikcom,kompascom,ganjarpranowo,KKMPutrajaya,KPK_RI,CNNIndonesia,aniesbaswedan,KompasTV,budimandjatmiko,tvOneNews,501Awani,kumparan,Metro_TV,tempodotco,DivHumas_Polri,KemenkesRI,DGHisham,TirtoID,liputan6dotcom,republikaonline,drzul_albakri,VIVAcoid,korantempo,SyedSaddiq,BBCIndonesia,KemensetnegRI,Khairykj,setkabgoid,antaranews,KawalCOVID19,RadioElshinta,kemkominfo,nu_online,tni_ad,addiems,tribunnews,mediaindonesia,Beritasatu,blogdokter,fadjroeL,XavierNaxa,hariankompas,JKJAVMY,tjhinfar21,bharianmy,KemenkeuRI,YRadianto,TRANS7,Kemenag_RI,Dandhy_Laksono,bernamadotcom,dr_koko28,ferdiriva,hmetromy,Aryprasetyo85,BurhanMuhtadi,habibthink,BNPTRI,ismailfahmi,ChusnulCh__,tirta_hudhi,KakekHalal,NgkongRoses,detiksport,MuhyiddinYassin,PDI_Perjuangan,eko_kuntadhi,KemenBUMN,seruanhl,kompasiana,Andrazahira,asumsico,msaid_didu,Parapat_Nixon,GOAL_ID,DPR_RI,sahaL_AS,PerekonomianRI,P3nj3l4j4h_id,ainunnajib,narkosun,BadmintonTalk,merdekadotcom,BANGSAygSUJUD,BiLLRaY2019,SCTV,dewi_darmawati,okezonenews,Ch_Chotlmah,kempanrb,_TNIAL_,rmol_id,Jinggaviolet3,jawapos,mojokdotco,arjuno_ireng01,mazzini_gsp,bank_indonesia,n1ckeff
jokowi,0,inf,inf,5587.666748,27873,41767.22168,305,45325.22168,2199,inf,2258,12616,inf,49314.69141,inf,111359.2217,1226,60879.5,207927.3359,inf,inf,22299,2288,inf,198772.6719,81201.83594,1286,169547.7188,43427.38281,1424,10109,inf,43258,57284.22168,1394,inf,352,304,inf,49206.69141,19158.09961,241296.7656,inf,inf,1275.333313,inf,46612,inf,4564.333496,58613.22168,51767.5,32134,36606,8711.75,27348,inf,52579.25,192766.5261,5526,76009.5,34667.33331,124771.5508,925,405,8574.142578,228569.2188,inf,84209.69141,125959,inf,4823.5,inf,273522.25,135743.2813,35795.33331,inf,inf,143642.9271,31374,558,16981.55566,5786.666748,13845.14258,inf,7442.714355,inf,12245,872,inf,inf,154231.0313,52921.22168,6475.5,inf,1310,210119.5781,inf,129651.3359,inf,1562
detikcom,308576.9141,0,inf,6385.5,59757.40039,42621.22168,1159,46179.22168,3053,inf,1722,321192.9141,inf,51257.69141,inf,112213.2217,2080,64915.73242,208781.3359,inf,inf,330875.9141,1752,inf,194467.0723,83144.83594,2140,178022.4004,45370.38281,2278,10963,inf,54679.5,58138.22168,858,inf,308928.9141,2247,inf,50060.69141,21101.09961,311523.6816,inf,inf,1429,inf,58033.5,inf,5418.333496,59467.22168,56029.69141,44633.90039,42778,9565.75,23042.40039,inf,53433.25,193564.3594,6380,76863.5,34821,125625.5508,2369,1849,9428.142578,237043.9004,inf,86152.69141,126813,inf,5677.5,inf,274376.25,136597.2813,35949,inf,inf,143796.5938,42795.5,1412,17835.55566,6584.5,14699.14258,inf,8296.714355,inf,320821.9141,1726,inf,inf,155085.0313,53775.22168,7329.5,inf,2164,210973.5781,inf,135823.3359,inf,2416
kompascom,308294.875,inf,0,6024.75,50746.40723,42877.22168,308599.875,46435.22168,3309,inf,2428,320910.875,inf,51963.69141,inf,112469.2217,2336,55904.73926,209037.3359,inf,inf,330593.875,2458,inf,185456.0791,83850.83594,2396,169011.4072,45088.34375,2534,12929.28613,inf,44368,58394.22168,1564,inf,1462,2953,inf,50316.69141,20769.9668,302512.6885,inf,inf,1221,inf,47722,inf,312859.2085,59723.22168,52877.5,35622.90723,37716,9821.75,14031.40723,inf,53689.25,193203.6094,6636,78829.78613,34613,125881.5508,1095,575,316869.0176,228032.9072,inf,86858.69141,127069,inf,4384.714355,inf,274632.25,136853.2813,35741,inf,inf,143588.5938,32484,1313.15387,18091.55566,6223.75,322140.0176,inf,8403.10144,inf,320539.875,1573.785706,inf,inf,155341.0313,54031.22168,7585.5,inf,2420,211229.5781,inf,130761.3359,inf,2522.387085
ganjarpranowo,369007.1765,inf,inf,0,396880.1765,38548.83276,369312.1765,42106.83276,371206.1765,inf,371265.1765,381623.1765,inf,54396.83276,inf,108140.8328,370233.1765,429886.6765,215769.9187,inf,inf,391306.1765,371295.1765,inf,260850.3328,96916.83276,370293.1765,201463.8328,412434.5593,370431.1765,10656.66675,inf,412265.1765,54065.83276,370401.1765,inf,369359.1765,369311.1765,inf,51087.16675,21073.16675,424548.3328,inf,inf,370282.5098,inf,415619.1765,inf,373571.51,55394.83276,59168.83276,401141.1765,66263.16675,3862.666748,396355.1765,inf,49526.83276,187178.8594,374533.1765,76557.16675,45189.19922,126652.0261,369932.1765,369412.1765,377581.3191,260485.3328,inf,89291.83276,133801.5828,inf,373830.6765,inf,642529.4265,179060.3386,46317.19922,inf,inf,140940.9375,400381.1765,369565.1765,13763.16675,199,382852.3191,inf,376449.8909,inf,381252.1765,369879.1765,inf,inf,162428.9167,49702.83276,375482.6765,inf,370317.1765,207067.1609,inf,140313.7683,inf,370569.1765
KKMPutrajaya,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,33006.5,inf,inf,inf,inf,inf,inf,207213.7031,inf,inf,147827.2031,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,370911.7031,inf,inf,inf,inf,inf,inf,inf,inf,inf,4261,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,206848.7031,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
KPK_RI,330458.3438,inf,inf,336046.0105,358331.3438,0,330763.3438,3558,332657.3438,inf,332716.3438,343074.3438,inf,15848,inf,69592,331684.3438,391337.8438,177221.0859,inf,inf,352757.3438,332746.3438,inf,222301.5,58368,331744.3438,162915,373885.7266,331882.3438,340567.3438,inf,373716.3438,15517,331852.3438,inf,330810.3438,330762.3438,inf,379665.0352,349616.4434,385999.5,inf,inf,331733.6771,inf,377070.3438,inf,335022.6772,16846,20620,362592.3438,367064.3438,339170.0938,357806.3438,inf,10978,159549.3281,335984.3438,61947,365125.6771,134256.75,331383.3438,330863.3438,339032.4863,221936.5,inf,50743,95252.75,inf,335281.8438,inf,603980.5938,194336.0859,366253.6771,inf,inf,197056.1719,361832.3438,331016.3438,347439.8994,336245.0105,344303.4863,inf,337901.0581,inf,342703.3438,331330.3438,inf,inf,123880.084,11154,336933.8438,inf,331768.3438,168518.3281,inf,163606,inf,332020.3438
CNNIndonesia,324537.5313,inf,inf,5413.666748,352410.5313,41593.22168,0,45151.22168,2025,inf,326795.5313,337153.5313,inf,57441.22168,inf,111185.2217,325763.5313,82818.89844,207753.3359,inf,inf,346836.5313,326825.5313,inf,257026.1016,91405.52344,981,197639.6016,61331,1250,9804,inf,53520.5,57110.22168,325931.5313,inf,324889.5313,324841.5313,inf,51198,21427.14258,420724.1016,inf,inf,2170.333313,inf,56874.5,inf,4259.333496,58439.22168,59189.09375,54073.39844,41750,8537.75,351885.5313,inf,52405.25,192592.5261,6967,75704.5,35562.33331,126762.8594,1820,1300,8269.142578,256661.1016,inf,92336.22168,125785,inf,4649.5,inf,598059.7813,135569.2813,36690.33331,inf,inf,144537.9271,41636.5,253,16807.55566,5589,13540.14258,inf,7137.714355,inf,336782.5313,567,inf,inf,154412.334,52747.22168,8519,inf,1005,209945.5781,inf,134795.3359,inf,1257
aniesbaswedan,326900.3438,inf,inf,332488.0105,354773.3438,368667.5654,327205.3438,0,329099.3438,inf,329158.3438,339516.3438,inf,12290,inf,438259.5654,328126.3438,387779.8438,173663.0859,inf,inf,349199.3438,329188.3438,inf,218743.5,54810,328186.3438,159357,370327.7266,328324.3438,337009.3438,inf,370158.3438,11959,328294.3438,inf,327252.3438,327204.3438,inf,376107.0352,346058.4434,382441.5,inf,inf,328175.6771,inf,373512.3438,inf,331464.6772,13288,17062,359034.3438,363506.3438,335612.0938,354248.3438,inf,7420,155991.3281,332426.3438,58389,361567.6771,130698.75,327825.3438,327305.3438,335474.4863,218378.5,inf,47185,91694.75,inf,331723.8438,inf,600422.5938,190778.0859,362695.6771,inf,inf,193498.1719,358274.3438,327458.3438,343881.8994,332687.0105,340745.4863,inf,334343.0581,inf,339145.3438,327772.3438,inf,inf,120322.084,379821.5654,333375.8438,inf,328210.3438,164960.3281,inf,160048,inf,328462.3438
KompasTV,370026.5654,inf,inf,3388.666748,397899.5654,39568.22168,370331.5654,43126.22168,0,inf,372284.5654,382642.5654,inf,55416.22168,inf,109160.2217,371252.5654,80793.89844,216789.3076,inf,inf,392325.5654,372314.5654,inf,255001.1016,89380.52344,371312.5654,195614.6016,413453.9482,371450.5654,9620.286133,inf,71677.39844,55085.22168,371420.5654,inf,370378.5654,370330.5654,inf,51014.28613,22092.55469,418699.1016,inf,inf,371301.8987,inf,75031.39844,inf,374590.8989,56414.22168,57164.09375,52048.39844,65025.39844,6512.75,397374.5654,inf,50380.25,190567.5261,375552.5654,75520.78613,48577.86597,126579.1455,370951.5654,370431.5654,378600.708,254636.1016,inf,90311.22168,134820.9717,inf,2624.5,inf,643548.8154,178023.958,49705.86597,inf,inf,144329.6042,59793.39844,370584.5654,14782.55566,3587.666748,383871.708,inf,6310.714355,inf,382271.5654,370898.5654,inf,inf,163448.3057,50722.22168,376502.0654,inf,371336.5654,207920.5781,inf,141333.1572,inf,430
budimandjatmiko,314802.2227,inf,inf,7679.666748,342675.2227,43859.22168,315107.2227,47417.22168,4291,0,317060.2227,327418.2227,inf,59707.22168,inf,113451.2217,3318,67250,210019.3359,inf,inf,337101.2227,317090.2227,inf,241457.2031,91607.5,3378,182070.7031,51595.69141,3516,13911.28613,inf,45350,59376.22168,316196.2227,inf,2444,315106.2227,inf,51298.69141,24039.42773,405155.2031,inf,inf,888.333313,inf,48704,inf,319366.5562,60705.22168,53859.5,38504.5,38698,10803.75,342150.2227,inf,54671.25,194858.5261,7618,79811.78613,34280.33331,126863.5508,538,18,323376.3652,241092.2031,inf,94602.22168,128051,inf,6915.5,inf,275614.25,137835.2813,35408.33331,inf,inf,143255.9271,33466,756.1538696,19073.55566,6092.15387,328647.3652,inf,7846.10144,inf,327047.2227,1016.785706,inf,inf,156323.0313,55013.22168,8567.5,inf,3402,212211.5781,inf,131743.3359,inf,1965.387085
tvOneNews,308834.9141,inf,inf,6270,336707.9141,42978.22168,309139.9141,46536.22168,3410,inf,0,321450.9141,inf,51515.69141,inf,112570.2217,2437,84203.89844,209138.3359,inf,inf,331133.9141,30,inf,258411.1016,83402.83594,2497,199024.6016,45628.38281,2635,13030.28613,inf,55036.5,58495.22168,1116,inf,309186.9141,2505,inf,50417.69141,21359.09961,422109.1016,inf,inf,767,inf,58390.5,inf,313399.2476,59824.22168,56287.69141,55458.39844,43135,9922.75,336182.9141,inf,53790.25,193448.8594,6737,78930.78613,34159,125982.5508,647,127,317409.0566,258046.1016,inf,86410.69141,127170,inf,6034.5,inf,274733.25,136954.2813,35287,inf,inf,143134.5938,43152.5,865.1538696,18192.55566,6201.15387,322680.0566,inf,7955.10144,inf,321079.9141,1125.785706,inf,inf,155442.0313,54132.22168,7686.5,inf,2521,211330.5781,inf,136180.3359,inf,2074.387085
501Awani,408147.8438,inf,inf,413735.5105,15257,77689.5,408452.8438,81247.5,410346.8438,inf,410405.8438,0,inf,93537.5,inf,147281.5,409373.8438,48263.5,254910.5859,inf,inf,9683,410435.8438,inf,186156.6719,136057.5,409433.8438,156931.7188,451575.2266,409571.8438,418256.8438,inf,451405.8438,93206.5,409541.8438,inf,408499.8438,408451.8438,inf,457354.5352,23495,228680.7656,inf,inf,409423.1771,inf,454759.8438,inf,412712.1772,94535.5,98309.5,19518,444753.8438,416859.5938,14732,inf,88667.5,237238.8281,413673.8438,105664.168,59594.5,211946.25,409072.8438,408552.8438,416721.9863,215953.2188,inf,124965.168,172942.25,inf,412971.3438,inf,681670.0938,272025.5859,60722.5,inf,inf,168570.0938,439521.8438,408705.8438,425129.3994,413934.5105,421992.9863,inf,415590.5581,inf,420392.8438,409019.8438,inf,inf,201569.584,88843.5,414623.3438,inf,409457.8438,246207.8281,inf,207323.168,inf,409709.8438
kumparan,314010.2227,inf,inf,6887.666748,341883.2227,43067.22168,314315.2227,46625.22168,3499,537,316268.2227,326626.2227,0,58915.22168,inf,102883.9219,2526,67787,209227.3359,inf,inf,336309.2227,316298.2227,inf,241994.2031,91659.92188,2586,182607.7031,50803.69141,2724,13119.28613,inf,40015.35156,58584.22168,315404.2227,inf,2981,314314.2227,inf,50506.69141,23247.42773,405692.2031,inf,inf,1425.333313,inf,43369.35156,438.25,318574.5562,56087.85156,53911.92188,39041.5,39235,10011.75,341358.2227,173,53879.25,194066.5261,6826,79019.78613,34817.33331,126071.5508,1075,555,322584.3652,241629.2031,inf,77044.4375,127259,inf,6123.5,inf,274822.25,137043.2813,35945.33331,inf,inf,143792.9271,34003,1293.15387,18281.55566,6629.15387,327855.3652,inf,8383.10144,353.5,326255.2227,1553.785706,inf,inf,155531.0313,44445.92188,7775.5,inf,2610,211419.5781,inf,124678.7734,inf,2502.387085
Metro_TV,441538.084,inf,inf,447125.7507,469411.084,483305.3057,441843.084,486863.3057,443737.084,inf,443796.084,454154.084,inf,0,inf,552897.3057,442764.084,502417.584,161373.0859,inf,inf,463837.084,443826.084,inf,640310.7559,42520,442824.084,611085.8027,484965.4668,442962.084,451647.084,inf,484796.084,498822.3057,442932.084,inf,441890.084,441842.084,inf,490744.7754,460696.1836,682834.8496,inf,inf,442813.4173,inf,488150.084,inf,446102.4175,500151.3057,4772,473672.084,478144.084,450249.834,468886.084,inf,494117.334,280348,447064.084,46099,476205.4173,118408.75,442463.084,441943.084,450112.2266,670107.3027,inf,34895,79404.75,inf,446361.584,inf,715060.334,178488.0859,477333.4173,inf,inf,185650,472912.084,442096.084,458519.6396,447324.7507,455383.2266,inf,448980.7983,inf,453783.084,442410.084,inf,inf,108032.084,494459.3057,448013.584,inf,442848.084,263638.0859,inf,147758,inf,443100.084
tempodotco,307426.2461,inf,inf,5794.166748,335299.2461,39027.5,307731.2461,42585.5,2405.5,inf,587.5,320042.2461,inf,52103.19141,0,108619.5,1441.5,69228.25,208133.8359,inf,inf,329725.2461,617.5,428.5,243435.4531,83990.33594,1361.5,184048.9531,44219.71484,1630.5,12025.78613,inf,53901,54544.5,1703.5,inf,307778.2461,3092.5,inf,49422.19141,21946.59961,407133.4531,inf,inf,1354.5,inf,57255,inf,311990.5796,55873.5,56875.19141,40482.75,42130.5,8918.25,334774.2461,inf,50005.5,192973.0261,5741.5,77926.28613,34746.5,124987.0508,1234.5,714.5,316000.3887,243070.4531,inf,76281.65625,126165.5,inf,5030,inf,273737.75,135949.7813,35874.5,inf,inf,143722.0938,42017,1452.65387,17188.05566,5993.166748,321271.3887,inf,8443.714355,inf,319671.2461,1713.285706,inf,inf,154446.5313,50181.5,6691,inf,1385.5,207545.8281,inf,114595.1563,inf,2563
DivHumas_Polri,433955.834,inf,inf,439543.5007,461828.834,475723.0557,434260.834,479281.0557,436154.834,inf,436213.834,446571.834,inf,483270.5254,inf,0,435181.834,494835.334,153790.8359,inf,inf,456254.834,436243.834,inf,632728.5059,515157.6699,435241.834,603503.5527,477383.2168,435379.834,444064.834,inf,477213.834,491240.0557,435349.834,inf,434307.834,434259.834,inf,483162.5254,453113.9336,675252.5996,inf,inf,435231.1673,inf,480567.834,inf,438520.1675,492569.0557,485723.334,466089.834,470561.834,442667.584,461303.834,inf,486535.084,257109,439481.834,509965.334,468623.1673,558727.3848,434880.834,434360.834,442529.9766,662525.0527,inf,11656,71822.5,inf,438779.334,inf,707478.084,170905.8359,469751.1673,inf,inf,315653.8359,465329.834,434513.834,450937.3896,439742.5007,447800.9766,inf,441398.5483,inf,446200.834,434827.834,inf,inf,100449.834,486877.0557,440431.334,inf,435265.834,256055.8359,inf,563607.1699,inf,435517.834
KemenkesRI,311484.2227,inf,inf,4361.666748,339357.2227,40541.22168,311789.2227,44099.22168,973,inf,313742.2227,324100.2227,inf,56389.22168,inf,110133.2217,0,81766.89844,206701.3359,inf,inf,333783.2227,313772.2227,inf,255974.1016,90353.52344,60,196587.6016,48277.69141,198,10593.28613,inf,52599.5,56058.22168,312878.2227,inf,311836.2227,311788.2227,inf,47980.69141,20721.42773,419672.1016,inf,inf,1249.333313,inf,55953.5,inf,316048.5562,57387.22168,58137.09375,53021.39844,40698,7485.75,338832.2227,inf,51353.25,191540.5261,4300,76493.78613,34641.33331,123545.5508,899,379,320058.3652,255609.1016,inf,91284.22168,124733,inf,3597.5,inf,272296.25,134517.2813,35769.33331,inf,inf,143616.9271,40715.5,1117.15387,15755.55566,4560.666748,325329.3652,inf,7002.214355,inf,323729.2227,1377.785706,inf,inf,153005.0313,51695.22168,5249.5,inf,84,208893.5781,inf,133743.3359,inf,1121.5
DGHisham,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,197477.5,inf,inf,138091,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,361175.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,197112.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
TirtoID,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,17115,inf,inf,inf,161863,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,102265,inf,inf,inf,inf
liputan6dotcom,308443.9141,inf,inf,6388.166748,336316.9141,42567.72168,308748.9141,46125.72168,2999.5,inf,1589,321059.9141,inf,51124.69141,inf,112159.7217,3036,83793.39844,208727.8359,0,inf,330742.9141,1619,inf,258000.6016,83011.83594,1955.5,198614.1016,45237.38281,2224.5,12619.78613,inf,54495,58084.72168,725,inf,308795.9141,2114,inf,51016.69141,20968.09961,421698.6016,inf,inf,1071,inf,57849,inf,313008.2476,59413.72168,55896.69141,55047.89844,42724.5,9512.25,335791.9141,inf,53379.75,193567.0261,7336,78520.28613,34463,126581.5508,2236,1716,317018.0566,257635.6016,inf,86019.69141,126759.5,inf,5624,inf,275332.25,136543.7813,35591,inf,inf,143438.5938,42611,1227.5,17782.05566,5402,322289.0566,540,9149.714355,inf,7588,1541.5,inf,inf,155386.834,53721.72168,8285.5,inf,1979.5,210920.0781,inf,135769.8359,inf,3269
republikaonline,325139.8646,inf,inf,6016.000122,353012.8646,42195.55505,325444.8646,45753.55505,2627.333374,inf,327397.8646,337755.8646,inf,58043.55505,inf,111323.7422,326365.8646,83421.23181,208355.6693,inf,0,347438.8646,327427.8646,inf,257628.4349,92007.85681,1583.333374,198241.9349,61933.33337,1852.333374,12247.61951,inf,54122.83337,57712.55505,326533.8646,inf,325491.8646,325443.8646,inf,53641.61951,20691.51563,421326.4349,inf,inf,1009,inf,57476.83337,inf,329704.1981,59041.55505,59791.42712,54675.73181,42352.33337,9140.083374,352487.8646,inf,53007.58337,193194.8595,7569.333374,78148.11951,34401,129206.4789,976,456,333714.0072,257263.4349,inf,92938.55505,126387.3334,inf,5251.833374,inf,598662.1146,136171.6146,35529,inf,inf,143376.5938,42238.83337,1194.15387,17409.88904,6215.000122,338985.0072,inf,8284.10144,inf,337384.8646,1454.785706,inf,inf,155014.6674,52885.74219,9121.333374,inf,1607.333374,210547.9115,inf,135397.6693,inf,2403.387085
drzul_albakri,inf,inf,inf,inf,41764,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,74770.5,inf,inf,inf,0,inf,inf,248977.7031,inf,inf,189591.2031,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,412675.7031,inf,inf,inf,inf,inf,inf,inf,inf,inf,46025,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,248612.7031,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
